person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_codes,x_test_indices,y_test,y_pred
22,30000,RENT,4.0,VENTURE,9875,7.29,1,0.33,N,3,1,4459,1,1
23,44000,RENT,7.0,MEDICAL,9800,13.11,1,0.22,N,2,1,4466,1,0
24,53500,RENT,0.0,HOMEIMPROVEMENT,9800,6.17,0,0.18,N,4,1,4469,0,0
22,42000,OWN,3.0,VENTURE,7000,10.99,0,0.17,N,3,1,4475,0,0
24,42000,MORTGAGE,2.0,PERSONAL,10000,7.49,0,0.24,N,4,1,4500,0,0
24,75000,RENT,0.0,DEBTCONSOLIDATION,4975,6.76,0,0.07,N,4,1,4503,0,0
22,95000,RENT,0.0,MEDICAL,4975,6.17,0,0.05,N,3,1,4504,0,0
23,27972,RENT,6.0,VENTURE,5000,8.94,0,0.18,N,3,1,4506,0,0
24,28000,RENT,0.0,MEDICAL,5000,7.68,0,0.18,N,3,1,4513,0,0
22,42000,MORTGAGE,4.0,PERSONAL,7050,10.99,0,0.17,N,4,1,4518,0,0
23,28800,RENT,2.0,VENTURE,5000,13.11,0,0.17,N,3,1,4519,0,0
23,29100,RENT,3.0,EDUCATION,5000,14.84,0,0.17,N,2,1,4520,0,0
21,42000,MORTGAGE,1.0,DEBTCONSOLIDATION,2500,7.29,0,0.06,N,4,1,4524,0,0
22,30000,RENT,2.0,EDUCATION,5000,10.99,0,0.17,Y,2,0,4530,0,0
22,30000,RENT,0.0,EDUCATION,5000,11.49,0,0.17,N,2,1,4537,0,0
23,30000,RENT,0.0,PERSONAL,5000,11.86,0,0.17,N,2,1,4538,0,0
24,30000,RENT,0.0,EDUCATION,5000,11.14,0,0.17,N,2,1,4543,0,0
23,30159,RENT,0.0,EDUCATION,5000,11.12,0,0.17,N,2,1,4548,0,0
22,42000,OWN,0.0,EDUCATION,12000,10.99,0,0.29,N,4,1,4550,0,0
26,31200,RENT,8.0,EDUCATION,5000,8.63,0,0.16,N,2,1,4556,0,0
26,32000,RENT,3.0,VENTURE,5000,6.03,0,0.16,N,2,1,4563,0,0
22,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,7000,14.84,1,0.19,N,3,1,4564,1,1
26,32000,RENT,10.0,PERSONAL,5000,12.53,0,0.16,Y,3,0,4569,0,0
24,42000,MORTGAGE,8.0,PERSONAL,12000,10.38,0,0.29,N,4,1,4573,0,0
26,33000,RENT,2.0,MEDICAL,5000,12.69,0,0.15,N,4,1,4579,0,0
26,36000,MORTGAGE,2.0,HOMEIMPROVEMENT,6000,11.49,1,0.17,N,2,1,4580,1,0
23,33600,RENT,3.0,VENTURE,5000,13.49,0,0.15,Y,4,0,4589,0,0
24,35000,RENT,4.0,MEDICAL,5000,11.71,0,0.14,N,3,1,4605,0,0
23,35000,RENT,5.0,PERSONAL,5000,6.99,0,0.14,N,2,1,4609,0,0
22,35000,RENT,6.0,MEDICAL,5000,10.99,0,0.14,N,4,1,4613,0,0
23,35000,RENT,3.0,MEDICAL,5000,10.99,0,0.14,N,2,1,4614,0,0
25,35000,RENT,3.0,MEDICAL,5000,10.36,0,0.14,N,3,1,4615,0,0
25,42000,MORTGAGE,5.0,DEBTCONSOLIDATION,7000,8.59,0,0.17,N,3,1,4619,0,0
25,29000,RENT,3.0,DEBTCONSOLIDATION,5000,15.7,1,0.17,Y,3,0,4622,1,1
23,35520,RENT,3.0,EDUCATION,5000,13.57,0,0.14,N,3,1,4630,0,0
23,42000,OWN,7.0,PERSONAL,4400,11.89,0,0.1,N,4,1,4644,0,0
22,30000,RENT,4.0,VENTURE,5000,15.21,1,0.17,Y,3,0,4645,1,0
23,36000,RENT,1.0,MEDICAL,5000,13.22,0,0.14,N,4,1,4647,0,0
24,42000,OWN,1.0,VENTURE,7500,10.51,0,0.18,N,3,1,4657,0,0
22,37000,RENT,4.0,PERSONAL,5000,10.65,0,0.14,N,4,1,4660,0,0
21,38000,RENT,0.0,EDUCATION,5000,10.99,0,0.13,Y,4,0,4669,0,0
25,32000,RENT,1.0,EDUCATION,5000,15.37,1,0.16,Y,3,0,4672,1,1
26,32352,RENT,0.0,VENTURE,5000,14.84,1,0.15,N,4,1,4678,1,1
23,42500,MORTGAGE,2.0,EDUCATION,12600,10.99,0,0.3,N,4,1,4689,0,0
24,33996,RENT,2.0,VENTURE,5000,12.92,1,0.15,N,4,1,4702,1,1
23,40000,RENT,0.0,EDUCATION,5000,12.42,0,0.13,N,4,1,4704,0,0
25,42504,MORTGAGE,9.0,MEDICAL,10000,7.29,0,0.24,N,2,1,4707,0,0
26,40000,RENT,3.0,DEBTCONSOLIDATION,5000,9.45,0,0.13,N,3,1,4724,0,0
25,42996,MORTGAGE,4.0,HOMEIMPROVEMENT,12000,6.17,0,0.28,N,4,1,4726,0,0
25,34800,RENT,2.0,PERSONAL,5000,16.02,1,0.14,Y,3,0,4729,1,1
22,34800,RENT,0.0,MEDICAL,5000,15.21,1,0.14,Y,2,0,4730,1,1
22,42000,RENT,0.0,EDUCATION,5000,8.9,0,0.12,N,4,1,4740,0,0
24,43000,MORTGAGE,8.0,DEBTCONSOLIDATION,9500,6.62,0,0.22,N,2,1,4741,0,0
22,36000,RENT,1.0,EDUCATION,5000,12.68,1,0.14,N,4,1,4745,1,0
24,42000,RENT,8.0,MEDICAL,5000,5.42,0,0.12,N,2,1,4750,0,0
24,43000,MORTGAGE,5.0,HOMEIMPROVEMENT,2500,13.49,0,0.06,Y,4,0,4759,0,0
23,43000,MORTGAGE,3.0,VENTURE,3600,15.62,0,0.08,N,3,1,4766,0,0
24,42996,RENT,5.0,MEDICAL,5000,7.14,0,0.12,N,4,1,4772,0,0
25,43000,RENT,6.0,PERSONAL,5000,7.51,0,0.12,N,3,1,4775,0,0
26,44000,RENT,4.0,MEDICAL,5000,8.9,0,0.11,N,3,1,4785,0,0
22,43000,MORTGAGE,0.0,EDUCATION,5000,7.14,0,0.12,N,2,1,4788,0,0
22,45000,RENT,6.0,EDUCATION,5000,11.36,0,0.11,N,4,1,4805,0,0
23,39600,RENT,4.0,MEDICAL,5000,14.84,1,0.13,Y,2,0,4813,1,1
24,39996,RENT,0.0,VENTURE,5000,14.11,1,0.13,Y,3,0,4816,1,1
26,40000,RENT,0.0,PERSONAL,5000,15.99,1,0.13,Y,2,0,4817,1,1
22,46500,RENT,4.0,VENTURE,5000,10.37,0,0.11,N,4,1,4822,0,0
24,46809,RENT,4.0,DEBTCONSOLIDATION,5000,12.18,0,0.11,N,4,1,4826,0,0
23,47000,RENT,0.0,VENTURE,5000,8.9,0,0.11,N,2,1,4828,0,0
23,47000,RENT,4.0,EDUCATION,5000,9.99,0,0.11,N,3,1,4829,0,0
26,43200,OWN,1.0,EDUCATION,17000,13.49,0,0.39,Y,2,0,4831,0,0
22,43200,MORTGAGE,1.0,PERSONAL,8400,16.77,0,0.19,N,4,1,4832,0,0
23,37200,MORTGAGE,7.0,DEBTCONSOLIDATION,4000,7.66,1,0.11,N,2,1,4844,1,0
23,48000,RENT,5.0,DEBTCONSOLIDATION,5000,9.25,0,0.1,N,2,1,4845,0,0
23,42000,RENT,0.0,DEBTCONSOLIDATION,5000,10.99,1,0.12,Y,2,0,4850,1,0
21,37200,MORTGAGE,3.0,MEDICAL,16800,6.17,1,0.45,N,2,1,4851,1,0
23,43200,OWN,6.0,VENTURE,13000,15.95,0,0.3,N,2,1,4855,0,0
22,43200,MORTGAGE,6.0,VENTURE,6000,7.51,0,0.14,N,3,1,4859,0,0
26,43200,MORTGAGE,10.0,HOMEIMPROVEMENT,2500,9.88,0,0.06,N,4,1,4865,0,0
24,43200,MORTGAGE,0.0,HOMEIMPROVEMENT,10000,14.26,0,0.23,Y,4,0,4867,0,0
22,49560,RENT,5.0,EDUCATION,5000,10.36,0,0.1,N,4,1,4877,0,0
24,43300,MORTGAGE,2.0,DEBTCONSOLIDATION,24000,10.62,0,0.55,N,2,1,4878,0,0
24,50000,RENT,1.0,HOMEIMPROVEMENT,5000,7.49,0,0.1,N,2,1,4883,0,0
24,55000,RENT,6.0,DEBTCONSOLIDATION,9000,12.87,0,0.16,N,4,1,4884,0,0
23,56000,RENT,7.0,EDUCATION,9000,13.35,0,0.16,N,3,1,4892,0,0
23,37700,MORTGAGE,7.0,DEBTCONSOLIDATION,10000,9.63,1,0.27,N,3,1,4894,1,0
26,57240,RENT,3.0,VENTURE,9000,7.51,0,0.16,N,3,1,4896,0,0
24,58800,RENT,4.0,EDUCATION,9000,10.99,0,0.15,N,2,1,4903,0,0
23,44000,MORTGAGE,2.0,VENTURE,4000,15.27,0,0.09,N,2,1,4915,0,1
26,80000,RENT,3.0,VENTURE,9000,8.9,0,0.11,N,2,1,4962,0,0
22,44000,MORTGAGE,1.0,DEBTCONSOLIDATION,18900,10.14,0,0.43,N,2,1,4969,0,0
22,44004,MORTGAGE,0.0,PERSONAL,6300,12.29,0,0.14,Y,3,0,4976,0,0
24,44160,OTHER,7.0,MEDICAL,10000,13.22,0,0.23,N,4,1,4981,0,0
25,44196,MORTGAGE,8.0,HOMEIMPROVEMENT,4000,7.51,0,0.09,N,3,1,4982,0,0
23,92000,RENT,7.0,EDUCATION,9000,6.92,0,0.1,N,2,1,4985,0,0
26,38340,MORTGAGE,7.0,PERSONAL,2500,12.18,1,0.07,N,4,1,4988,1,0
22,110500,RENT,2.0,EDUCATION,9000,5.79,0,0.08,N,4,1,4995,0,0
24,24000,RENT,5.0,MEDICAL,8975,11.83,1,0.37,N,2,1,5003,1,1
23,33000,RENT,1.0,EDUCATION,8950,13.22,1,0.27,Y,3,0,5010,1,0
23,44500,MORTGAGE,4.0,EDUCATION,9250,9.62,0,0.21,N,3,1,5011,0,0
25,63000,RENT,3.0,MEDICAL,8900,7.29,0,0.14,N,3,1,5012,0,0
24,44600,MORTGAGE,5.0,MEDICAL,20000,11.89,0,0.45,N,4,1,5020,0,0
26,44959,MORTGAGE,2.0,PERSONAL,10000,11.71,0,0.22,N,2,1,5031,0,0
22,48000,RENT,7.0,PERSONAL,8800,6.62,0,0.18,N,4,1,5034,0,0
23,45000,MORTGAGE,4.0,EDUCATION,8650,14.27,0,0.19,N,2,1,5035,0,0
25,75000,RENT,7.0,VENTURE,8800,14.59,0,0.12,N,3,1,5040,0,0
25,45000,MORTGAGE,4.0,VENTURE,10400,14.27,0,0.23,Y,2,0,5042,0,0
24,50000,RENT,6.0,MEDICAL,5000,6.54,0,0.1,N,2,1,5045,0,0
22,45000,MORTGAGE,5.0,MEDICAL,6500,10.65,0,0.14,N,4,1,5046,0,0
23,45000,MORTGAGE,7.0,VENTURE,14550,11.71,0,0.32,N,4,1,5048,0,0
23,50000,RENT,7.0,DEBTCONSOLIDATION,5000,7.4,0,0.1,N,2,1,5055,0,0
21,50500,RENT,0.0,MEDICAL,5000,10.37,0,0.1,N,3,1,5068,0,0
21,45000,OWN,2.0,VENTURE,6000,10.99,0,0.13,N,2,1,5070,0,0
21,45996,RENT,5.0,DEBTCONSOLIDATION,5000,10.99,1,0.11,Y,3,0,5071,1,1
25,45000,MORTGAGE,5.0,PERSONAL,3800,10.65,0,0.08,N,2,1,5080,0,0
25,25000,RENT,0.0,MEDICAL,8500,12.53,1,0.34,Y,2,0,5086,1,1
25,25000,RENT,4.0,DEBTCONSOLIDATION,8500,11.26,1,0.34,N,2,1,5089,1,1
24,28800,RENT,1.0,DEBTCONSOLIDATION,8500,10.99,0,0.3,N,2,1,5100,0,0
23,29520,RENT,7.0,EDUCATION,8500,15.37,0,0.29,Y,2,0,5102,0,1
22,40000,RENT,1.0,PERSONAL,8500,14.35,0,0.21,Y,2,0,5114,0,0
24,45000,MORTGAGE,6.0,HOMEIMPROVEMENT,4075,5.42,0,0.09,N,3,1,5115,0,0
23,34000,RENT,5.0,VENTURE,8500,13.92,1,0.25,N,3,1,5116,1,0
23,45000,MORTGAGE,8.0,VENTURE,13000,10.99,0,0.29,N,2,1,5121,0,0
26,45000,MORTGAGE,6.0,VENTURE,5000,6.99,0,0.11,N,2,1,5129,0,0
25,44000,RENT,9.0,MEDICAL,8500,14.27,1,0.19,N,4,1,5139,1,0
24,52582,RENT,5.0,MEDICAL,8500,10.62,0,0.16,N,2,1,5144,0,0
22,46968,RENT,1.0,PERSONAL,8500,10.99,1,0.18,N,4,1,5145,1,0
24,45000,MORTGAGE,8.0,PERSONAL,4000,10.99,0,0.09,N,2,1,5146,0,0
21,60996,RENT,2.0,VENTURE,8500,10.99,0,0.14,N,2,1,5152,0,0
23,65000,RENT,6.0,DEBTCONSOLIDATION,8500,13.35,0,0.13,Y,2,0,5158,0,0
23,65000,RENT,3.0,MEDICAL,8500,12.21,0,0.13,N,2,1,5159,0,0
24,45000,MORTGAGE,8.0,EDUCATION,5000,5.79,0,0.11,N,2,1,5165,0,0
22,25000,RENT,2.0,EDUCATION,8400,6.62,1,0.34,N,2,1,5169,1,1
22,45000,MORTGAGE,0.0,MEDICAL,9125,5.79,0,0.2,N,3,1,5170,0,0
23,45000,MORTGAGE,2.0,EDUCATION,10000,11.11,0,0.22,N,3,1,5175,0,0
25,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,4325,6.91,0,0.1,N,3,1,5181,0,0
23,53760,RENT,0.0,EDUCATION,5000,13.43,0,0.09,N,4,1,5186,0,0
26,54000,RENT,10.0,EDUCATION,5000,10.0,0,0.09,N,2,1,5187,0,0
24,54996,RENT,0.0,HOMEIMPROVEMENT,5000,10.39,0,0.09,N,2,1,5195,0,0
26,55000,RENT,3.0,VENTURE,5000,13.48,0,0.09,Y,4,0,5199,0,0
26,56000,RENT,7.0,PERSONAL,5000,7.91,0,0.09,N,2,1,5205,0,0
23,56016,RENT,4.0,EDUCATION,5000,15.13,0,0.09,N,3,1,5211,0,0
26,51600,RENT,1.0,HOMEIMPROVEMENT,5000,8.94,1,0.1,N,2,1,5215,1,0
24,57692,RENT,2.0,HOMEIMPROVEMENT,5000,13.23,0,0.09,Y,3,0,5216,0,0
25,45000,MORTGAGE,4.0,MEDICAL,5000,7.88,0,0.11,N,3,1,5223,0,0
24,45000,MORTGAGE,5.0,EDUCATION,5000,10.99,0,0.11,N,4,1,5225,0,0
21,45000,MORTGAGE,4.0,EDUCATION,5000,7.14,0,0.11,N,4,1,5227,0,0
25,58296,RENT,9.0,DEBTCONSOLIDATION,5000,6.17,0,0.09,N,4,1,5228,0,0
26,58979,RENT,2.0,DEBTCONSOLIDATION,5000,9.32,0,0.08,N,3,1,5235,0,0
26,53000,RENT,4.0,DEBTCONSOLIDATION,5000,15.95,1,0.09,Y,2,0,5236,1,1
21,45000,MORTGAGE,5.0,DEBTCONSOLIDATION,8000,7.51,0,0.18,N,4,1,5245,0,0
21,45000,MORTGAGE,5.0,PERSONAL,10000,7.51,0,0.22,N,2,1,5253,0,0
24,39000,MORTGAGE,2.0,HOMEIMPROVEMENT,16000,14.22,1,0.41,N,4,1,5260,1,0
22,60000,RENT,3.0,PERSONAL,5000,14.22,0,0.08,N,4,1,5262,0,0
22,54000,RENT,4.0,EDUCATION,5000,16.35,1,0.09,Y,3,0,5264,1,1
23,54000,RENT,7.0,EDUCATION,5000,12.84,1,0.09,Y,2,0,5265,1,0
22,45000,MORTGAGE,4.0,PERSONAL,5000,13.48,0,0.11,Y,4,0,5266,0,0
24,45000,MORTGAGE,3.0,EDUCATION,1275,11.36,0,0.03,N,4,1,5270,0,0
25,62400,RENT,5.0,VENTURE,5000,7.51,0,0.08,N,2,1,5275,0,0
26,45000,MORTGAGE,0.0,HOMEIMPROVEMENT,4000,13.92,0,0.09,N,2,1,5286,0,0
25,45000,MORTGAGE,3.0,DEBTCONSOLIDATION,4000,8.59,0,0.09,N,3,1,5294,0,0
25,45000,MORTGAGE,0.0,MEDICAL,5950,7.74,0,0.13,N,2,1,5297,0,0
26,45000,MORTGAGE,1.0,DEBTCONSOLIDATION,1500,7.05,0,0.03,N,2,1,5304,0,0
22,59004,RENT,3.0,EDUCATION,5000,11.11,1,0.08,N,3,1,5308,1,0
25,45000,MORTGAGE,0.0,VENTURE,17000,11.89,0,0.38,N,2,1,5323,0,0
24,45000,MORTGAGE,0.0,VENTURE,3600,10.99,0,0.08,N,2,1,5325,0,0
23,45000,MORTGAGE,3.0,EDUCATION,16750,12.53,0,0.37,Y,3,0,5326,0,0
24,68648,RENT,1.0,VENTURE,5000,10.99,0,0.07,N,2,1,5329,0,0
26,72000,RENT,0.0,VENTURE,5000,7.49,0,0.07,N,4,1,5342,0,0
22,45000,MORTGAGE,1.0,EDUCATION,7375,9.32,0,0.16,N,4,1,5343,0,0
26,39000,MORTGAGE,4.0,DEBTCONSOLIDATION,5000,13.67,1,0.13,N,3,1,5345,1,1
23,45000,MORTGAGE,1.0,EDUCATION,8000,10.51,0,0.18,N,4,1,5348,0,0
24,74000,RENT,2.0,MEDICAL,5000,10.99,0,0.07,N,4,1,5352,0,0
23,75000,RENT,4.0,VENTURE,5000,10.99,0,0.07,N,3,1,5354,0,0
25,45000,MORTGAGE,7.0,EDUCATION,7500,8.0,0,0.17,N,3,1,5356,0,0
22,75000,RENT,2.0,VENTURE,5000,10.99,0,0.07,N,2,1,5360,0,0
24,75000,RENT,8.0,PERSONAL,5000,11.78,0,0.07,Y,2,0,5367,0,0
25,76000,RENT,1.0,DEBTCONSOLIDATION,5000,7.9,0,0.07,N,3,1,5369,0,0
25,76000,RENT,0.0,DEBTCONSOLIDATION,5000,8.9,0,0.07,N,2,1,5370,0,0
25,78000,RENT,3.0,DEBTCONSOLIDATION,5000,7.66,0,0.06,N,3,1,5373,0,0
23,80000,RENT,5.0,VENTURE,5000,12.42,0,0.06,N,4,1,5377,0,0
23,39292,MORTGAGE,3.0,PERSONAL,3250,10.99,1,0.08,N,4,1,5382,1,0
23,39325,MORTGAGE,3.0,EDUCATION,2800,12.87,1,0.07,N,4,1,5386,1,0
26,39500,MORTGAGE,6.0,MEDICAL,15250,15.05,1,0.39,N,4,1,5395,1,1
23,85000,RENT,2.0,EDUCATION,5000,11.58,0,0.06,N,4,1,5396,0,0
23,78000,RENT,0.0,HOMEIMPROVEMENT,5000,6.62,1,0.06,N,4,1,5407,1,0
24,45600,MORTGAGE,0.0,DEBTCONSOLIDATION,7200,6.91,0,0.16,N,4,1,5411,0,0
26,45608,OWN,8.0,HOMEIMPROVEMENT,11000,6.62,0,0.24,N,2,1,5426,0,0
22,45691,MORTGAGE,5.0,VENTURE,7000,7.14,0,0.15,N,2,1,5428,0,0
26,45900,MORTGAGE,10.0,PERSONAL,11500,13.79,0,0.25,N,4,1,5438,0,0
24,115000,RENT,1.0,HOMEIMPROVEMENT,5000,8.9,0,0.04,N,3,1,5455,0,0
24,116300,RENT,6.0,HOMEIMPROVEMENT,5000,14.96,0,0.04,Y,4,0,5457,0,0
23,45996,OWN,7.0,EDUCATION,10000,13.16,0,0.22,N,3,1,5459,0,0
23,46000,MORTGAGE,7.0,PERSONAL,5000,6.62,0,0.11,N,3,1,5466,0,0
21,26000,RENT,5.0,MEDICAL,5200,12.53,0,0.2,N,2,1,5478,0,0
23,24000,RENT,3.0,EDUCATION,5250,7.66,1,0.22,N,3,1,5488,1,0
23,45000,RENT,3.0,MEDICAL,5275,10.39,0,0.12,N,2,1,5491,0,0
24,30000,RENT,3.0,MEDICAL,5300,15.28,1,0.18,Y,3,0,5501,1,1
21,47000,RENT,1.0,MEDICAL,5300,7.66,0,0.11,N,2,1,5503,0,0
22,50004,RENT,5.0,PERSONAL,5300,14.42,0,0.11,Y,2,0,5504,0,0
26,25300,RENT,2.0,HOMEIMPROVEMENT,5400,16.02,1,0.21,Y,2,0,5517,1,1
22,32000,RENT,1.0,PERSONAL,5400,16.29,1,0.17,N,2,1,5522,1,1
23,46113,MORTGAGE,4.0,PERSONAL,9000,15.99,0,0.2,Y,4,0,5525,0,0
23,35000,RENT,5.0,MEDICAL,5400,12.84,0,0.15,N,4,1,5528,0,0
22,57500,RENT,4.0,MEDICAL,5400,5.42,0,0.09,N,4,1,5533,0,0
23,63000,RENT,3.0,VENTURE,5400,14.54,0,0.09,N,2,1,5537,0,0
22,58617,RENT,6.0,MEDICAL,5400,15.21,1,0.09,N,2,1,5540,1,1
22,46500,MORTGAGE,3.0,VENTURE,13000,7.29,0,0.28,N,3,1,5541,0,0
23,46500,OWN,2.0,DEBTCONSOLIDATION,6000,10.99,0,0.13,Y,2,0,5545,0,0
21,46500,MORTGAGE,5.0,EDUCATION,1300,14.96,0,0.03,N,2,1,5548,0,0
22,12000,RENT,5.0,EDUCATION,5500,10.36,1,0.46,N,4,1,5553,1,1
23,20400,RENT,5.0,VENTURE,5500,10.99,0,0.27,Y,2,0,5561,0,0
23,21600,RENT,3.0,EDUCATION,5500,9.25,0,0.25,N,4,1,5563,0,0
23,46800,OWN,7.0,VENTURE,9000,10.99,0,0.19,Y,4,0,5564,0,0
23,22000,RENT,1.0,EDUCATION,5500,13.04,0,0.25,N,4,1,5567,0,0
24,23000,RENT,4.0,MEDICAL,5500,6.54,0,0.24,N,3,1,5568,0,0
24,46800,MORTGAGE,8.0,VENTURE,6000,14.22,0,0.13,Y,4,0,5572,0,0
23,25000,RENT,0.0,PERSONAL,5500,9.32,0,0.22,N,4,1,5576,0,0
22,46976,OWN,5.0,PERSONAL,11000,14.26,0,0.23,Y,2,0,5579,0,0
24,47000,MORTGAGE,9.0,VENTURE,9600,15.96,0,0.2,N,2,1,5582,0,0
23,33000,RENT,7.0,PERSONAL,5500,14.54,0,0.17,Y,3,0,5595,0,1
23,33600,RENT,1.0,DEBTCONSOLIDATION,5500,10.99,0,0.16,N,3,1,5598,0,0
26,34000,RENT,1.0,VENTURE,5500,13.11,0,0.16,N,3,1,5604,0,0
24,37000,RENT,3.0,PERSONAL,5500,9.2,0,0.15,N,2,1,5610,0,0
22,47000,MORTGAGE,3.0,MEDICAL,15000,7.66,0,0.32,N,2,1,5625,0,0
24,47000,MORTGAGE,4.0,HOMEIMPROVEMENT,6000,7.66,0,0.13,N,3,1,5627,0,0
24,47000,MORTGAGE,1.0,DEBTCONSOLIDATION,8500,10.99,0,0.18,N,3,1,5633,0,0
22,56000,RENT,7.0,EDUCATION,5500,9.38,0,0.1,N,3,1,5642,0,0
25,57000,RENT,1.0,HOMEIMPROVEMENT,5500,10.99,0,0.1,N,4,1,5645,0,0
23,62000,RENT,7.0,VENTURE,5500,17.49,0,0.09,N,3,1,5653,0,0
24,64000,RENT,3.0,EDUCATION,5500,10.75,0,0.09,N,4,1,5657,0,0
26,90000,RENT,0.0,EDUCATION,5525,11.36,0,0.06,N,4,1,5661,0,0
22,47091,MORTGAGE,6.0,VENTURE,10000,10.99,0,0.21,N,3,1,5662,0,0
23,24000,RENT,7.0,VENTURE,5550,12.53,0,0.23,N,4,1,5665,0,0
22,14400,RENT,1.0,VENTURE,5600,14.59,1,0.39,Y,2,0,5672,1,1
24,19200,RENT,0.0,DEBTCONSOLIDATION,5600,8.9,1,0.29,N,2,1,5676,1,1
24,19800,RENT,1.0,DEBTCONSOLIDATION,5600,5.79,1,0.28,N,3,1,5677,1,0
21,25000,RENT,5.0,VENTURE,5600,7.29,0,0.22,N,2,1,5683,0,0
24,47500,MORTGAGE,7.0,DEBTCONSOLIDATION,12000,9.91,0,0.25,N,3,1,5685,0,0
24,28000,RENT,0.0,PERSONAL,5600,14.12,1,0.2,Y,2,0,5687,1,1
24,47500,MORTGAGE,3.0,MEDICAL,13750,11.71,0,0.29,N,4,1,5688,0,0
25,30000,RENT,9.0,HOMEIMPROVEMENT,5600,10.99,1,0.19,Y,4,0,5692,1,1
22,47540,MORTGAGE,4.0,MEDICAL,12250,10.62,0,0.26,N,2,1,5697,0,0
24,38000,RENT,6.0,VENTURE,5600,10.99,0,0.15,N,3,1,5707,0,0
22,33000,RENT,0.0,MEDICAL,5600,13.23,1,0.17,Y,4,0,5711,1,0
25,40000,RENT,2.0,DEBTCONSOLIDATION,5600,10.99,0,0.14,N,3,1,5712,0,0
25,40800,RENT,9.0,PERSONAL,5600,16.77,0,0.14,N,3,1,5715,0,0
22,47940,MORTGAGE,4.0,DEBTCONSOLIDATION,15000,10.99,0,0.31,N,4,1,5718,0,0
24,48000,RENT,7.0,PERSONAL,5600,10.62,0,0.12,N,2,1,5726,0,0
23,50000,RENT,0.0,MEDICAL,5600,11.03,0,0.11,Y,4,0,5729,0,0
22,52800,RENT,3.0,EDUCATION,5600,7.29,0,0.11,N,3,1,5733,0,0
24,54000,RENT,3.0,VENTURE,5600,10.59,0,0.1,N,4,1,5734,0,0
24,56000,RENT,8.0,EDUCATION,5600,6.03,0,0.1,N,3,1,5739,0,0
25,48000,MORTGAGE,0.0,MEDICAL,23500,13.49,0,0.49,Y,4,0,5742,0,1
23,60000,RENT,1.0,PERSONAL,5600,7.29,0,0.09,N,2,1,5746,0,0
21,60000,RENT,3.0,DEBTCONSOLIDATION,5600,9.25,0,0.09,N,3,1,5747,0,0
22,48000,OWN,0.0,VENTURE,1500,16.29,0,0.03,N,3,1,5749,0,0
22,48000,MORTGAGE,6.0,EDUCATION,15000,10.99,0,0.31,N,4,1,5751,0,0
25,68515,RENT,2.0,MEDICAL,5600,12.61,0,0.08,N,3,1,5754,0,0
22,48000,MORTGAGE,0.0,MEDICAL,5000,6.03,0,0.1,N,4,1,5757,0,0
26,48000,MORTGAGE,10.0,VENTURE,13800,13.49,0,0.29,Y,2,0,5762,0,0
22,70000,RENT,3.0,PERSONAL,5600,11.14,0,0.08,N,3,1,5763,0,0
23,48000,MORTGAGE,8.0,PERSONAL,10000,10.65,0,0.21,N,3,1,5766,0,0
25,81600,RENT,2.0,EDUCATION,5600,5.99,0,0.07,N,4,1,5770,0,0
22,37000,RENT,4.0,EDUCATION,5700,5.42,0,0.15,N,4,1,5787,0,0
24,48000,MORTGAGE,8.0,MEDICAL,10000,7.49,0,0.21,N,3,1,5794,0,0
23,30900,RENT,1.0,PERSONAL,5775,9.63,1,0.19,N,4,1,5803,1,0
26,48000,MORTGAGE,9.0,PERSONAL,8000,10.59,0,0.17,N,4,1,5822,0,0
23,42000,MORTGAGE,3.0,DEBTCONSOLIDATION,1800,12.99,1,0.04,Y,3,0,5823,1,0
25,19200,RENT,5.0,EDUCATION,5875,14.11,1,0.31,N,3,1,5836,1,1
24,23000,RENT,4.0,PERSONAL,5900,9.63,0,0.26,N,4,1,5841,0,0
26,36800,RENT,0.0,PERSONAL,5900,10.71,0,0.16,N,3,1,5843,0,0
23,48000,MORTGAGE,7.0,VENTURE,14125,10.99,0,0.29,N,2,1,5847,0,0
24,14880,RENT,2.0,EDUCATION,6000,10.0,1,0.4,N,3,1,5853,1,1
22,15000,RENT,6.0,MEDICAL,6000,6.03,1,0.4,N,3,1,5854,1,1
22,15000,RENT,3.0,EDUCATION,6000,14.59,1,0.4,N,4,1,5855,1,1
24,48000,MORTGAGE,3.0,DEBTCONSOLIDATION,4800,9.99,0,0.1,N,2,1,5857,0,0
22,18000,RENT,2.0,VENTURE,6000,6.62,1,0.33,N,2,1,5861,1,1
24,48000,MORTGAGE,4.0,DEBTCONSOLIDATION,12000,10.99,0,0.25,N,3,1,5862,0,0
22,18000,RENT,1.0,MEDICAL,6000,10.99,1,0.33,N,3,1,5864,1,1
22,18200,RENT,4.0,HOMEIMPROVEMENT,6000,7.66,1,0.33,N,3,1,5865,1,1
24,19200,RENT,0.0,EDUCATION,6000,10.59,1,0.31,N,3,1,5872,1,1
21,19200,RENT,0.0,PERSONAL,6000,9.88,1,0.31,N,2,1,5874,1,1
25,19200,RENT,2.0,HOMEIMPROVEMENT,6000,13.11,1,0.31,Y,2,0,5875,1,1
